Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Labeled Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Parameter Value[Column model]	Parameter Value[Column type]	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
urine_synth_XOP_042	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_042	Labelling metabolites	labeled_synth_XOM_042	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_042	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_043	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_043	Labelling metabolites	labeled_synth_XOM_043	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_043	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_044	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_044	Labelling metabolites	labeled_synth_XOM_044	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_044	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_045	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_045	Labelling metabolites	labeled_synth_XOM_045	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_045	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_046	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_046	Labelling metabolites	labeled_synth_XOM_046	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_046	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_047	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_047	Labelling metabolites	labeled_synth_XOM_047	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_047	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_048	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_048	Labelling metabolites	labeled_synth_XOM_048	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_048	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_049	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_049	Labelling metabolites	labeled_synth_XOM_049	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_049	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_050	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_050	Labelling metabolites	labeled_synth_XOM_050	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_050	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_051	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_051	Labelling metabolites	labeled_synth_XOM_051	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_051	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_052	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_052	Labelling metabolites	labeled_synth_XOM_052	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_052	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_053	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_053	Labelling metabolites	labeled_synth_XOM_053	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_053	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_054	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_054	Labelling metabolites	labeled_synth_XOM_054	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_054	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_055	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_055	Labelling metabolites	labeled_synth_XOM_055	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_055	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_056	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_056	Labelling metabolites	labeled_synth_XOM_056	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_056	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_057	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_057	Labelling metabolites	labeled_synth_XOM_057	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_057	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_058	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_058	Labelling metabolites	labeled_synth_XOM_058	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_058	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_059	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_059	Labelling metabolites	labeled_synth_XOM_059	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_059	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_060	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_060	Labelling metabolites	labeled_synth_XOM_060	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_060	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_061	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_061	Labelling metabolites	labeled_synth_XOM_061	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_061	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_062	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_062	Labelling metabolites	labeled_synth_XOM_062	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_062	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_063	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_063	Labelling metabolites	labeled_synth_XOM_063	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_063	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_064	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_064	Labelling metabolites	labeled_synth_XOM_064	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_064	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_065	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_065	Labelling metabolites	labeled_synth_XOM_065	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_065	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_066	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_066	Labelling metabolites	labeled_synth_XOM_066	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_066	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_067	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_067	Labelling metabolites	labeled_synth_XOM_067	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_067	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_068	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_068	Labelling metabolites	labeled_synth_XOM_068	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_068	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_069	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_069	Labelling metabolites	labeled_synth_XOM_069	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_069	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_070	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_070	Labelling metabolites	labeled_synth_XOM_070	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_070	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_071	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_071	Labelling metabolites	labeled_synth_XOM_071	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_071	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_072	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_072	Labelling metabolites	labeled_synth_XOM_072	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_072	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_073	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_073	Labelling metabolites	labeled_synth_XOM_073	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_073	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_074	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_074	Labelling metabolites	labeled_synth_XOM_074	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_074	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_075	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_075	Labelling metabolites	labeled_synth_XOM_075	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_075	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_076	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_076	Labelling metabolites	labeled_synth_XOM_076	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_076	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_077	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_077	Labelling metabolites	labeled_synth_XOM_077	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_077	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_078	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_078	Labelling metabolites	labeled_synth_XOM_078	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_078	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_079	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_079	Labelling metabolites	labeled_synth_XOM_079	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_079	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_080	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_080	Labelling metabolites	labeled_synth_XOM_080	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_080	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_081	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_081	Labelling metabolites	labeled_synth_XOM_081	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_081	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_082	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_082	Labelling metabolites	labeled_synth_XOM_082	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_082	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
urine_synth_XOP_083	Extraction	1 uL pyridine	oximation followed by silylation	extract_synth_XOM_083	Labelling metabolites	labeled_synth_XOM_083	Chromatography	Agilent Technologies 7890A	HP-5MS UI (5% Phenyl Methyl Silox), 30 m x 0.25 m ID column with a film thickness of 25 um	low polarity	Mass spectrometry	positive	50-500	Agilent Technologies mass selective detector (MSD 5975C) and MultiPurpose Sampler (MPS, MXY016-02A, GERSTEL)	EI (70 eV)	single-quadrupole	mass_spectrometry_synth_XOM_083	link/to/raw/data	Data transformation	link/to/data_transformation_name	link/to/normalized_data	link/to/spectral_file	Metabolite identification	link/to/data_transformation_name	link/to/MAF
