Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[family ID]	Protocol REF	Parameter Value[anatomical entity]	Sample Name	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[sample type]	Term Source REF	Term Accession Number
synth_XOP_057	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_057	sample collection	urine	urine_synth_XOP_057	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_058	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_058	sample collection	urine	urine_synth_XOP_058	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_058	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_058	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_058						
synth_XOP_059	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_059	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_059						
synth_XOP_059	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_059	sample collection	urine	urine_synth_XOP_059	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_060	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_060	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_060						
synth_XOP_060	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_060	sample collection	urine	urine_synth_XOP_060	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_061	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_061	sample collection	urine	urine_synth_XOP_061	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_061	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_061	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_061						
synth_XOP_062	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_062	sample collection	urine	urine_synth_XOP_062	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_062	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_062	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_062						
synth_XOP_063	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_063	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_063						
synth_XOP_063	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_063	sample collection	urine	urine_synth_XOP_063	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_064	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_064	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_064						
synth_XOP_064	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_064	sample collection	urine	urine_synth_XOP_064	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_065	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_065	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_065						
synth_XOP_065	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_065	sample collection	urine	urine_synth_XOP_065	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_066	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_066	sample collection	urine	urine_synth_XOP_066	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_066	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_066	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_066						
synth_XOP_067	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_067	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_067						
synth_XOP_067	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_067	sample collection	urine	urine_synth_XOP_067	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_068	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_068	sample collection	urine	urine_synth_XOP_068	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_068	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_068	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_068						
synth_XOP_069	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_069	sample collection	urine	urine_synth_XOP_069	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_069	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_069	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_069						
synth_XOP_070	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_070	sample collection	urine	urine_synth_XOP_070	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_070	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_070	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_070						
synth_XOP_071	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_071	sample collection	urine	urine_synth_XOP_071	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_071	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_071	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_071						
synth_XOP_072	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_072	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_072						
synth_XOP_072	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_072	sample collection	urine	urine_synth_XOP_072	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_073	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_073	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_073						
synth_XOP_073	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_073	sample collection	urine	urine_synth_XOP_073	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_074	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_074	sample collection	urine	urine_synth_XOP_074	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_074	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_074	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_074						
synth_XOP_075	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_075	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_075						
synth_XOP_075	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_075	sample collection	urine	urine_synth_XOP_075	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_076	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_076	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_076						
synth_XOP_076	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_076	sample collection	urine	urine_synth_XOP_076	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_077	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_077	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_077						
synth_XOP_077	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_077	sample collection	urine	urine_synth_XOP_077	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_078	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_078	sample collection	urine	urine_synth_XOP_078	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_078	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_078	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_078						
synth_XOP_079	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_079	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_079						
synth_XOP_079	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_079	sample collection	urine	urine_synth_XOP_079	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_080	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_080	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_080						
synth_XOP_080	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_080	sample collection	urine	urine_synth_XOP_080	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_081	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_081	sample collection	urine	urine_synth_XOP_081	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_081	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_081	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_081						
synth_XOP_082	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_082	sample collection	urine	urine_synth_XOP_082	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_082	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_082	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_082						
synth_XOP_083	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_083	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_083						
synth_XOP_083	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_083	sample collection	urine	urine_synth_XOP_083	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_084	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_084	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_084						
synth_XOP_084	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_084	sample collection	urine	urine_synth_XOP_084	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_085	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_085	sample collection	urine	urine_synth_XOP_085	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_085	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_085	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_085						
synth_XOP_086	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_086	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_086						
synth_XOP_086	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_086	sample collection	urine	urine_synth_XOP_086	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_087	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_087	sample collection	urine	urine_synth_XOP_087	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_087	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_087	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_087						
synth_XOP_088	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_088	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_088						
synth_XOP_088	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_088	sample collection	urine	urine_synth_XOP_088	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_089	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_089	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_089						
synth_XOP_089	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_089	sample collection	urine	urine_synth_XOP_089	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_090	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_090	sample collection	urine	urine_synth_XOP_090	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_090	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_090	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_090						
synth_XOP_091	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_091	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_091						
synth_XOP_091	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_091	sample collection	urine	urine_synth_XOP_091	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_092	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_092	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_092						
synth_XOP_092	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_092	sample collection	urine	urine_synth_XOP_092	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_093	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_093	sample collection	urine	urine_synth_XOP_093	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_093	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_093	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_093						
synth_XOP_094	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_094	sample collection	urine	urine_synth_XOP_094	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_094	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_094	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_094						
synth_XOP_095	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_095	sample collection	urine	urine_synth_XOP_095	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_095	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_095	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_095						
synth_XOP_096	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_096	sample collection	urine	urine_synth_XOP_096	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_096	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_096	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_096						
synth_XOP_097	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_097	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_097						
synth_XOP_097	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_097	sample collection	urine	urine_synth_XOP_097	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_098	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_098	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_098						
synth_XOP_098	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_098	sample collection	urine	urine_synth_XOP_098	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_099	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_099	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_099						
synth_XOP_099	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_099	sample collection	urine	urine_synth_XOP_099	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_100	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_100	sample collection	urine	urine_synth_XOP_100	urine	UBERON	http://purl.obolibrary.org/obo/UBERON_0001088	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746
synth_XOP_100	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	synth_XOF_100	sample collection	buccal mucosa	buccal_mucosa_synth_XOP_100						
